document	label
딱히 맛잇는지 모르겟다	0
맛없고, 비싸고, 주차 할 곳 없고, 친절하지도 않고, 전 완전 별로 였습니다.	0
호불호가 문제가 아님. 역겨움. 손님을 돈주머니 그 이상으로 안보는.	0
차이나타운 거리를 구경하고 허기를 떼우기위해서는 한번쯤 들러볼만도 하다. 가격에비해 맛은 수준이하였다.	0
아직까지는 괜찮은 것 같습니다. 	1
역시 공화춘 중국 요리 맛이 좋습니다.	1
짜장면의 원조라고 하지만 요즘 더 맛있는 중국집이 많아졌다.	0
이곳은 그나마 변하지 않고 예전맛 그대로 인듯하다	1
공화춘짜장은 가격대비 별로고, 짬뽕은 그냥 별로입니다.	0
생각보다 맛이....비싼 값어치는 안되네요	0
100년의 역사가 어디로 간건가요	0
맛은 개인차지만 많은 곳이 벤치마킹을 해서인지 생각보다 월등하진 않았다.	0
먹어본 짬뽕중 기름이 젤 많고 매웠다	0
짬뽕이 특별하진않지만 맛있음 깔끔함 짜장도 맛있음	1
불친절 합니다	0
특별하진 않았지만 평균이상으로 만족스럽네요.	1
컵라면이 더 맛있어요~~	0
너무 기대를 했나봐요...갔다온 다른 분들도 제 생각과  같다고 하네요....	0
실망! 또 실망!	0
인천가시면 가성비로 맛집추천요.	1
다시 찾아가라면 가고 싶진 않았습니다	0
개맛없음  일반 집보다 더못함 소문난이유를모르겟음	0
모든메뉴가 맛도 좋고 야간영업.포장..등 신속하게 영업합니다.	1
솔직히맛없고...친절하지도않음...김밥에서미원뿌린맛남	0
항상 맛이 변하지 않은 김밥집..	1
오랜시간 변하지 않는 맛을 유지하여 손님이 많습니다.	1
맛있고 친절합니다. 다만 계란말이 김밥은 미리 만들어둔거 꺼내 주시더라구요.	1
맛은 깔끔하고 은근 땡김..ㅋ	1
별루예요~~~  왜 맛있다고 하는지 잘 모르겠어요ㅠㅠ	0
비빔과 우동 모두 맛나다!	1
쫄깃한 면발 , 구수한 육수가 좋았어요. 가격도 비싸지 않고, 서비스로 먹는 아이스크림까지..	1
맛이 많이 변했습니다. 예전 그 맛 찾고 가시면 ... 실망 많이 하실듯.	0
맛이 별루이고 너무나도 가격에 비해 맛이 너무 없다고 생각을 하고 있고 계란말이 김밥도 가격에 비해 계란이 너무 없고 내용 물도 비 추천 입니다 메밀도 그 이상 이었습니다	0
왜 먹는지 잘 모르겠음^^; 그냥 아무 맛 안남	0
환상조합입니다.	1
가격과 맛이 다 착함	1
그냥 간단하게 맛나게 저렴하게 한끼 먹기 딱 좋습니다.	1
워낙 유명한집이어서 방문해 봤는데 소문난 잔치에 먹을거 없다는 말이 생각났습니다...	0
옛날 생각나면 가끔 들르지만 갈때마다 점점 실망하게 되는집	0
음식들 전반에 걸쳐 기름 쩌는 맛과 기름 쩌는 냄새가 심합니다. 	0
국몰도 예전같이 진하지 안고 면도 미리 만들어 놓았는지 퉁퉁 불어 있습니다	0
처음에는 가격이 저렴했는데 지금은 너무많이 올라서 그저그래요	0
싸요. 양도많아요. 닭튀김가루 많이넣서먹으면 맛있어요.	1
저렴하고 맛있고 푸짐합니다 24시간영업하여 면이땡길때마다 방문하여 자주 먹읍니다	1
차돌짬뽕 꼭 드셔보세요 후회 안합니다.	1
가도 가도 질리지 않은 맛이었습니다 한번들 꼭 가보세요	1
오랜 노포의 정성담긴 맛	1
오래된  단골집입니다 조금큰 닭이라  양도많고  너무맛있습니다	1
친절하고 맛있습니다 	1
삼계탕이 맛있는데 넘 비싸서 자주는 못가도 돈 아깝지는 않아요	1
맛이 예전 같지가 않아요	0
불친절 했어요~~	0
예전보다 맛도업고~~  전기구이도 맛보다 너무 비싸드라고요~~	0
다신가고싶지 않아요	0
옛날같지 않아요  닭이 엄청  퍽퍽하고  반찬도 깎두기 고추가 다고  담부턴 절대 안감	0
그대로인데 멋스럽지도 고풍스럽지도 특별하지도 않음	0
닭 양 넉넉하고 국물이 맛있었습니다.	1
맛과 양을 한번에..개꿀	1
40년 전통의 맛집입니다^^	1
비싸고 맛은 보통	0
옛날 경양식집 느낌. 평범하게 먹을만함	1
비싸고 양도 적고 맛 없음	0
먹고나면 다음날 배아파요...	0
맛있어요...... 분위기도좋아요.....	1
분식점정도맛이에요	0
매우맛있음	1
또 먹고 싶어요	1
양이 많아요.맛있어요	1
역시 최고네요! 보통 사이즈 먹었는데도 어찌나 양이 많고 고기가 두꺼운지 정말 배부르게 먹었습니다!!	1
두툼한 고기에 부드럽기까지	1
맛있고 양도 엄청나게 좋네요~^^	1
맛있었습니다... 양도 꽤 많습니다.. 배부르게 먹었습니다.	1
양이 많고 맛도 부드럽습니다.	1
양도 많고 맛있게 먹었습니다	1
다신 안간다	0
먹을만한데 양이너무많아요	1
음악을 좋아하는 주인의 취향도 좋고 돈까스도 매우 맛있음	1
돈까스 부드럽고 맛있고 양도 푸짐 근처에서 제일 괜찮은 돈까스집	1
여기는 레전드...	1
소뼈 해장국 국물이 끝내줘~~요	1
더럽게 맛없어요...	0
사장님이 친절하시고 서비스도 너무 좋다..제일 중요한 맛도 좋다..	1
맛 가격 모든것이 최고~	1
인천에서 가끔 가는 집입니다. 맛있어요.	1
가격도 오르고  양은 기본은 작고	0
동인천에서 먹을때랑 맛이 현저하게 변했다는 느낌입니다.	0
시원하게 맛나게 먹엇읍니다	1
젊은  사람들 입맛에 굿	1
맛도있고 양도 많아요	1
맛있어요 변함이 없네요~	1
그런대로 먹을만해요	1
다 좋아요 친절하시공 맛은 어느 가게던 또같음	1
가성비 갑이라는건 이런것...	1
생각보다 별로에요..	0
음식가격대는 나름 착한듯 종업원 불친절함	0
콩나물국밥이 너무 짜요	0
별로...	0
떡볶이가 땡기면 가볼수 있는 맛집!	1
기본을 갖춘 순대국밥. 친절하고 활기찬 직원들의 배려가 순댓국을 더 맛있게 해줍니다.	1
주말 점심 시간에 갔는데 진짜 사람 많았어요. 순댓국 안의 재료도 국물도 모두 맛있었어요.	1
맑은국물이 시원하고 밥한공기 무료임	1
변함없는 맛..바빠도 친절한 응대	1
유명 맛집 이지만 양이 너무 작음 	0
그냥그래요 어디가두 먹을수 있는맛	0
국물이시원하고 깔끔해요 직원도 친절	1
인천에서 순대국 생각나면 가는 유일한집이다.	1
막  와~~맛있다  이건 아니고 그냥  먹을만 하다  그정도 입니다^^	0
맛있습니다 짱이에요	1
특별한게 이제 없음. 어릴적 부모님과의 추억으로 가는거 아님 이제 안갈듯.	0
별이 아까운... 이곳이 맛집이라니 ㅡ.ㅡ	0
대 실망. 두번 방문은 없을 듯.	0
밑반찬도 맛있고 친절하고 조아요	1
다시가라고 한다면...음 고민좀 해볼듯합니다.	0
최악입니다.	0
기대 이하였어요	0
부모님 모시고 방문했는데 너무 실망스러웠어요	0
허여멀건한 비주얼이지만 그렇게 맛있다길래 잔뜩 기대하고 갔는데 기대 이상으로 맛있었어요! 	1
저렴해서 놀랬지만  왜저렴한지 알수있어요	0
여기 추억의 떡볶이 맛같은 느낌이에요!	1
개인적으로 배고픈데 남기고 왔음 맛없음...싸도 제입맛엔 아닌걸로ㅠ ㅜ	0
인천에서 먹어본 떡볶이 중 원탑임	1
요즘 뜨는 핫플이라 사람 많지만 기다려서 먹을 정도로 맛집은 아님..	0
적극 추천합니다	1
왜유명한지 이해를 못하겠음	0
떡볶이 달기만하고 별맛 없음	0
일부러 찾아갈정도의 집은 아니지만 가끔 생각날맛이다	1
최근들어 먹어본 떡볶이중 최고 처음에 먹었을땐 잘몰랐는데 정말 맛있어요	1
맛을 뭐라하기엔  가격이 엄청착해요 주머니 가볍게 드시고 싶은 분은 부담없이 드셔보세요	1
추억의 국민학교 앞 떡볶이. 떡이 정말 쫄깃.	1
어린 시절 추억의 맛이 생각나내요..	1
줄서서 먹을만큼 새롭지 않아요	0
부드럽고 맛있다.	1
족발이 맛남. 정말 괜찮아요. 막국수 별로 맛있지않음.	1
인천 족발집 명소. 냄새안나고 고기는 야들야들	1
족발이.냄새두안나고맛잇어요	1
옛날이랑 너무 많이 바뀌어서 아쉬워요	0
양고기 케밥이랑 갈릭난 맛나요	1
점심시간 점심메뉴 시키려는데 단품으로 유도함,비쌈 내내 인도 영상틀고 너무시끄러움	0
맛 없습니다. 음식에.성의가.없습니다.	0
카레에있는 고기가 거의 없으며 단지 부드러운 소스.	0
빠가사리 환상적입니다.	1
맛 인정. 진짜 또 먹고싶음.	1
빈맛은 전혀나지않고 얼큰하고 칼칼하며 밑반찬부터 맛있는집.	1
맛없음. 비추	0
양많고 맛있고 저렴함	1
4명이갔는데 다 맛이없다고 이야기했음.	0
이제 더이상 특별함이 없고 내부환경 개선했으면 함.	0
사장님, 직원분들 친절하시고 음식도 괜찮았음. 	1
아귀찜 맛있어요! 아귀 살도 많고 가격도 적당합니다. 아주 자극적이지 않아 더 좋았고	1
양도 많고 금액도 저렴한 편인듯 합니다		1
다시 가고싶지 않아요~	0
소문에 비해 음식이 짜서 별루. 양은 푸짐	0
두번 방문할거 같지는 않는 맛	0
찜은 안먹어봐서 모르겠고 탕을 먹었는데, 너무 밍밍했다.	0
매운게 당겨서 찾아갔는데 의외로 음식맛에 실망	0
유명한집이라해서갔는데... 조금짜구 특별한맛은 아닌듯합니다	0
간이 하나도 안맞음. 맛없고 시끄러웠음	0
원래 자주 다니던 곳이라 오랜만에 갔는데 소스도 너무 끈적거리고 옛날 같지 않음.. 그리고 반찬도 물가가 올라서 그런지 많이 부실해지고..	0
맛이없네요ㅋㅋ	0
아구탕 맛있음 매우 맛있음	1
생각보다 안매워요, 매운맛 시켜도 될듯 양도 많고 맛있어요		1
유명세에 비해 맛은 별로임 가격도 비쌈	0
예전엔 참 맛있었는데..예전같지 않더라구요ㅡㅠㅠ	0
맛없음	0
양많고 맛잇고 매콤함	1
양념이 밍밍함. 중간맛먹었으나 매운맛도 칼칼한맛도 안남.	0
제 입맛엔 너무 일본라멘.. 	0
일본 살다온사람으로써 한국인. 입맛에 잘맞게 잘살렸고 마늘 넣으면 찐으로 맛있네요	1
맛있고 든든하고, 정성가득 장문의 소개글에 기분좋은 식사하고 갑니다	1
항상 먹을때 마다 만족하고 오는 곳입니다	1
시원한 맥주와 함께 먹는 라멘은 굿입니다.	1
친절하고 맛있게 잘 먹었어요, 주차장은 없고 길건너 농협 유료 주차장 이용	1
라멘향에 라멘나오면 꼭 찍어야지 해놓고 나오자마자 미친듯이 먹었어요~~	1
기름이 둥둥 떠있지만 생각보다 진하지 않은 육수 라이트한 육수에 좀 실망...	0
오랜만에 방문 예전보다 맛이 좋아졌어요	1
양도 푸짐  잡냄새  없고 깔끔해요   증말  넘 맛잇어요	1
순대국이 진하고 맛있는 식당 입니다. 친절해서 좋아요.	1
가장 맛있는 순댓국이라고 장담할수있습니다. 국물과 돼지부속, 순대 전부 최고입니다.	1
순대국밥을 순대곰탕으로 부른다. 확실히 일반 순대국에 비해 국물이 깊음. 맛은 무난하게 먹을만한 곳. 양이 푸짐하니 좋다	1
간장게장 전문점답게 알이 꽉차고 큰 게장을 실컷 먹을 수 있습니다	1
맛있게 먹고 왔답니다	1
예전보다 가격이 많이 올랐지만 맛은 여전하네요... 어머니도 엄청 만족하심...	1
가겨대비 음식이 깔끔하고 맛있어요	1
기본적으로 비싸고 양이 너무 적아서 맛있다는걸 모르겠어요.	0
음식이 대체적으로 맛있었어요	1
맛은 보통, 서비스는 나쁨	0
간장게장 가격대비 넘 허점한 상차림 불친절 다시는 가고 싶지 않음	0
다시는 식사하러 안감은 물론 다른분이 예약 한다고 해도 말리고 싶음.	0
훌륭함. 이런 전무후무한 알탕을 먹어봄. 진정 강추	1
아주 저렴하고 맛있는 집입니다~	1
갈때마다 맛나게 먹고와요~	1
그냥 그래요 가격대비 좀 비싸구요	0
특별한 앗없는게장 은 너무 가격대비 먹을게 없다 오히려 청국장 이 메인 메뉴보다 좋았다 먹을것없이 비싸기만한곳	1
과하다 싶을만큼 많은양이 나오지만 가격이 매우 비쌉니다	0
왜 맛집인지 이해가 가지 않은집	0
맛있습니다. 일찍 가서 웨이팅 없었고 이모님들이 손수 구워주시는데 정말 식감도 좋고 맛있습니다. 사장님이 특히 자상하세요.	1
역사와 전통의 맛집	1
여전히 맛있고 친절함. 꽈리고추를 구워주는게 새로 생겼는데 정말 맛있었음.	1
고기질은 정말 좋음. 처음 딱 먹으면 찐 신세계!	1
경상도에서 고기로 잔뼈 굵은 나이다. 이곳 고기는 흠잡을 곳이 없을 정도로 육질이 훌륭하다.	1
많은기대는 실망감을주죠	0
언제나 똑같은 맛. 훌륭합니다.	1
그저 그런데 가격도 비싸고	0
친구와 함께 정식으로 먹었는데 삼겹살은 언제나 맛있었고 친구가 돼지 샤브샤브를 보고 놀랬지만 이것또한 맛있어서 대만족이었습니다	1
가격대비 좋습니다! !	1
손님에대한 배려가 없음	0
큰 기대하지 않고 이곳을 갔었는데 음식이 맛있었어요!	1
맛있었다. 양도 많아서 다먹고 일어나면 배 터짐.	1
항상 맛있는 집입니다. 드시면 100% 만족 보장합니다.	1
맛있습니다. 만두도 맛있고 국물도 맛있고 양도 많아요.	1
깔끔한 국물맛이 좋아요	1
